epoch,lr,time,loss
0,0.0001,01:57:22,2.790415108203888
1,3.25e-05,01:57:40,2.4405867567429174
2,6.5e-05,01:57:55,2.292465440126566
3,9.75e-05,01:58:11,2.196986928352943
4,0.00013,01:58:26,2.136045139111005
