epoch,lr,time,loss
0,0.0001,17:13:39,2.990950594498561
1,3.25e-05,17:13:41,2.400305379354037
2,6.5e-05,17:13:43,2.2391231830303484
3,9.75e-05,17:13:45,2.121343404513139
4,0.00013,17:13:46,2.050182661184898
5,0.0001625,17:13:48,1.9940363636383645
6,0.000195,17:13:50,1.9812587206180279
7,0.0002275,17:13:51,1.945837220320335
8,0.00026,17:13:53,1.9328178208607893
9,0.0002925,17:13:54,1.9295725043003376
10,0.000325,17:13:56,1.9174965097354009
11,0.00035749999999999996,17:13:58,1.915328251857024
12,0.00039,17:13:59,1.8968411638186529
13,0.00042249999999999997,17:14:01,1.9016046533217796
14,0.000455,17:14:03,1.8857587800576137
15,0.0004875,17:14:04,1.8902761633579548
16,0.00052,17:14:06,1.8932026363336123
17,0.0005524999999999999,17:14:07,1.8899587764189794
18,0.000585,17:14:09,1.888712002680852
19,0.0006175,17:14:11,1.8799032830275022
20,0.00065,17:14:12,1.875484969982734
21,0.0006825,17:14:14,1.8768721640110015
22,0.0007149999999999999,17:14:16,1.886300119986901
23,0.0007475,17:14:17,1.876214916430987
24,0.00078,17:14:19,1.8832734575638403
25,0.0008125,17:14:21,1.881286825125034
26,0.0008449999999999999,17:14:22,1.8811916172504426
27,0.0008774999999999999,17:14:24,1.878376248249641
28,0.00091,17:14:25,1.8713281425145956
29,0.0009425,17:14:27,1.8783447338984562
30,0.000975,17:14:29,1.8804515325106108
31,0.0010075,17:14:30,1.882116370017712
32,0.00104,17:14:32,1.874412103341176
33,0.0010724999999999999,17:14:34,1.8746413845282335
34,0.0011049999999999999,17:14:35,1.8757209800756895
35,0.0011375,17:14:37,1.8691254537839157
36,0.00117,17:14:38,1.8805815105254833
37,0.0012025,17:14:40,1.8735918489786294
38,0.001235,17:14:42,1.8789406116192158
39,0.0012413408160921208,17:14:43,1.8761579678608822
40,0.0012257258446136503,17:14:45,1.88165187056248
41,0.0012106856941032182,17:14:47,1.8716757829372699
42,0.0011961859411733636,17:14:48,1.8701705364080576
43,0.0011821949810273975,17:14:50,1.8675245789381174
44,0.0011686837375105715,17:14:51,1.8712642252445222
45,0.0011556254088025606,17:14:53,1.8657464728905604
46,0.0011429952436866485,17:14:55,1.8602982337658223
47,0.0011307703441436562,17:14:56,1.8677042874006125
48,0.0011189294906866138,17:14:58,1.8580523206637456
49,0.001107452987403647,17:15:00,1.8708124082822066
50,0.0010963225241337866,17:15:01,1.865630078315735
51,0.0010855210535810544,17:15:03,1.8681724332846128
52,0.0010750326814902835,17:15:04,1.8715711226830116
53,0.0010648425682749773,17:15:06,1.8569909457977
54,0.0010549368407121527,17:15:08,1.8634036059562977
55,0.0010453025125088634,17:15:09,1.8655699968338013
